J[0]	k[0]	kp[0]	c[0]	J[1]	k[1]	kp[1]	c[1]
17.796	0.000	0.000	0.000	18.837	0.000	0.250	0.750
18.024	0.050	0.000	0.052	18.867	0.050	0.300	0.752
18.119	0.100	0.000	0.104	18.897	0.100	0.350	0.754
18.191	0.150	0.000	0.156	18.926	0.150	0.350	0.806
18.252	0.200	0.000	0.208	18.956	0.200	0.400	0.808
18.306	0.250	0.000	0.260	18.985	0.250	0.450	0.810
18.356	0.300	0.050	0.262	19.013	0.300	0.450	0.862
18.404	0.350	0.050	0.314	19.041	0.350	0.501	0.864
18.449	0.400	0.050	0.366	19.069	0.400	0.551	0.866
18.490	0.450	0.050	0.418	19.097	0.450	0.601	0.868
18.530	0.501	0.050	0.470	19.125	0.501	0.601	0.920
18.566	0.551	0.050	0.523	19.152	0.551	0.651	0.922
18.602	0.601	0.100	0.525	19.179	0.601	0.701	0.924
18.638	0.651	0.100	0.577	19.206	0.651	0.751	0.926
18.671	0.701	0.100	0.629	19.233	0.701	0.801	0.928
18.704	0.751	0.150	0.631	19.260	0.751	0.851	0.930
18.737	0.801	0.200	0.633	19.287	0.801	0.851	0.982
18.769	0.851	0.200	0.685	19.313	0.851	0.901	0.984
18.800	0.901	0.250	0.687	19.339	0.901	0.951	0.986
18.830	0.951	0.250	0.739	19.365	0.951	1.001	0.988
18.861	1.001	0.300	0.741	19.391	1.001	1.051	0.990
18.891	1.051	0.350	0.743	19.417	1.051	1.101	0.992
18.920	1.101	0.350	0.795	19.443	1.101	1.151	0.994
18.950	1.151	0.400	0.797	19.469	1.151	1.151	1.046
18.978	1.201	0.450	0.799	19.494	1.201	1.201	1.048
19.007	1.251	0.450	0.851	19.520	1.251	1.251	1.050
19.035	1.301	0.501	0.853	19.545	1.301	1.301	1.052
19.064	1.351	0.551	0.855	19.570	1.351	1.351	1.054
19.091	1.401	0.601	0.857	19.595	1.401	1.351	1.106
19.119	1.451	0.601	0.909	19.620	1.451	1.401	1.108
19.146	1.502	0.651	0.911	19.645	1.502	1.451	1.110
19.174	1.552	0.701	0.913	19.670	1.552	1.502	1.112
19.201	1.602	0.751	0.915	19.695	1.602	1.552	1.114
19.228	1.652	0.801	0.917	19.720	1.652	1.602	1.116
19.254	1.702	0.801	0.969	19.744	1.702	1.652	1.118
19.281	1.752	0.851	0.971	19.769	1.752	1.702	1.120
19.307	1.802	0.901	0.973	19.794	1.802	1.752	1.122
19.334	1.852	0.951	0.975	19.818	1.852	1.802	1.124
19.360	1.902	1.001	0.977	19.842	1.902	1.852	1.126
19.386	1.952	1.051	0.979	19.866	1.952	1.852	1.178
19.412	2.002	1.051	1.031	19.891	2.002	1.902	1.180
19.438	2.052	1.101	1.033	19.915	2.052	1.952	1.182
19.463	2.102	1.151	1.035	19.939	2.102	2.002	1.184
19.489	2.152	1.201	1.037	19.963	2.152	2.052	1.186
19.515	2.202	1.251	1.039	19.987	2.202	2.102	1.188
19.540	2.252	1.301	1.041	20.011	2.252	2.152	1.190
19.565	2.302	1.301	1.093	20.034	2.302	2.202	1.192
19.590	2.352	1.351	1.095	20.058	2.352	2.252	1.194
19.615	2.402	1.401	1.097	20.082	2.402	2.302	1.196
19.640	2.452	1.451	1.099	20.105	2.452	2.352	1.198
19.665	2.503	1.502	1.101	20.129	2.503	2.352	1.250
19.690	2.553	1.552	1.103	20.152	2.553	2.402	1.252
19.715	2.603	1.602	1.105	20.176	2.603	2.452	1.254
19.739	2.653	1.652	1.107	20.199	2.653	2.503	1.256
19.764	2.703	1.702	1.109	20.223	2.703	2.553	1.258
19.788	2.753	1.752	1.111	20.246	2.753	2.603	1.260
19.813	2.803	1.752	1.163	20.269	2.803	2.653	1.262
19.837	2.853	1.802	1.165	20.292	2.853	2.703	1.264
19.861	2.903	1.852	1.167	20.315	2.903	2.753	1.266
19.886	2.953	1.902	1.169	20.338	2.953	2.803	1.268
19.910	3.003	1.952	1.171	20.361	3.003	2.853	1.270
19.934	3.053	2.002	1.173	20.384	3.053	2.903	1.272
19.958	3.103	2.052	1.175	20.407	3.103	2.953	1.274
19.982	3.153	2.102	1.177	20.430	3.153	3.003	1.276
20.006	3.203	2.152	1.179	20.453	3.203	3.003	1.328
20.029	3.253	2.202	1.181	20.476	3.253	3.053	1.330
20.053	3.303	2.252	1.183	20.499	3.303	3.103	1.332
20.077	3.353	2.252	1.235	20.521	3.353	3.153	1.334
20.100	3.403	2.302	1.237	20.544	3.403	3.203	1.336
20.124	3.453	2.352	1.239	20.566	3.453	3.253	1.338
20.148	3.504	2.402	1.241	20.589	3.504	3.303	1.340
20.171	3.554	2.452	1.243	20.612	3.554	3.353	1.342
20.194	3.604	2.503	1.245	20.634	3.604	3.403	1.344
20.218	3.654	2.553	1.247	20.656	3.654	3.453	1.346
20.241	3.704	2.603	1.249	20.679	3.704	3.504	1.348
20.264	3.754	2.653	1.251	20.701	3.754	3.554	1.350
20.287	3.804	2.703	1.253	20.723	3.804	3.604	1.352
20.311	3.854	2.753	1.255	20.746	3.854	3.654	1.354
20.334	3.904	2.803	1.257	20.768	3.904	3.704	1.356
20.357	3.954	2.853	1.259	20.790	3.954	3.754	1.358
20.380	4.004	2.903	1.261	20.812	4.004	3.754	1.410
20.403	4.054	2.903	1.313	20.834	4.054	3.804	1.412
20.425	4.104	2.953	1.315	20.856	4.104	3.854	1.414
20.448	4.154	3.003	1.317	20.878	4.154	3.904	1.416
20.471	4.204	3.053	1.319	20.900	4.204	3.954	1.418
20.494	4.254	3.103	1.321	20.922	4.254	4.004	1.420
20.516	4.304	3.153	1.323	20.944	4.304	4.054	1.422
20.539	4.354	3.203	1.325	20.966	4.354	4.104	1.424
20.562	4.404	3.253	1.327	20.988	4.404	4.154	1.426
20.584	4.454	3.303	1.329	21.010	4.454	4.204	1.428
20.607	4.505	3.353	1.331	21.031	4.505	4.254	1.430
20.629	4.555	3.403	1.333	21.053	4.555	4.304	1.432
20.652	4.605	3.453	1.335	21.075	4.605	4.354	1.434
20.674	4.655	3.504	1.337	21.097	4.655	4.404	1.436
20.696	4.705	3.554	1.339	21.118	4.705	4.454	1.438
20.719	4.755	3.604	1.341	21.140	4.755	4.505	1.440
20.741	4.805	3.654	1.343	21.161	4.805	4.555	1.442
20.763	4.855	3.654	1.395	21.183	4.855	4.605	1.444
20.785	4.905	3.704	1.397	21.204	4.905	4.655	1.446
